gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
Fsd1l,0.5379999999999999,0.0,0.0,1.734,0.0,0.0,0.0,0.0,1.734,0.0,0.0
Fsd2,0.667,0.0,0.0,4.319,0.609,0.0,4.0,0.0,1.681,0.0,0.0
Fseg,0.6409999999999999,0.0,0.0,0.887,4.0,4.0,0.574,0.0,0.488,0.0,0.0
Fshb,4.7589999999999995,1.315,0.945,1.7730000000000001,0.9690000000000001,0.0,0.8859999999999999,0.0,0.996,0.0,0.0
Fshr,2.245,4.726,1.5390000000000001,2.023,1.465,0.608,1.0979999999999999,4.223,1.2,0.895,0.695
Fsip1,0.0,0.5770000000000001,0.706,1.5319999999999998,0.75,0.0,0.0,0.0,1.172,0.0,0.0
Fsip2,0.0,2.719,0.6859999999999999,0.96,4.0,0.0,0.0,0.0,0.174,0.0,0.0
Fst,5.0,2.286,2.06,5.0,1.8559999999999999,0.9740000000000001,1.47,0.773,1.52,1.665,1.014
Fstl1,4.498,1.6230000000000002,1.692,1.5919999999999999,1.318,0.0,1.27,0.528,1.278,0.851,0.7120000000000001
Fstl3,5.0,1.396,1.139,4.302,1.0090000000000001,0.5379999999999999,0.73,0.0,0.75,0.0,4.0
Fstl4,3.951,2.339,0.0,0.8190000000000001,0.281,0.32799999999999996,0.0,0.0,0.32799999999999996,0.469,0.0
Fstl5,3.7,2.8089999999999997,0.0,0.71,0.281,0.281,0.75,0.0,0.0,0.281,0.375
Ftcd,0.983,4.148,3.5010000000000003,1.963,1.847,1.19,4.2330000000000005,0.0,4.485,0.746,5.0
Fth1,4.4830000000000005,2.085,1.929,2.951,4.436,1.088,1.6269999999999998,1.859,3.2319999999999998,4.395,1.0390000000000001
Fthl17,1.5,0.75,0.0,1.4769999999999999,0.569,0.0,0.0,0.0,1.271,0.0,0.639
Fthl17a,0.0,0.0,0.0,1.641,0.0,0.0,0.0,0.0,1.734,0.0,0.0
Ftl1,4.364,1.617,1.615,2.431,2.5860000000000003,0.619,1.324,1.659,2.614,4.343999999999999,0.902
Ftmt,2.5989999999999998,1.1079999999999999,0.718,1.46,4.667,0.0,0.941,1.3840000000000001,2.006,1.348,0.509
Fto,1.756,1.524,1.504,5.0,1.952,1.199,1.256,0.0,2.531,0.792,0.753
Ftsj1,0.562,0.0,0.0,1.756,1.4509999999999998,0.0,0.0,0.0,1.465,0.0,0.0
Ftsj2,0.0,0.0,0.0,4.248,4.622,0.281,0.0,0.0,1.078,0.0,0.0
Ftsj3,0.0,0.0,0.0,4.486000000000001,0.728,0.0,0.0,0.0,1.922,0.0,0.406
Ftx,0.0,0.0,0.0,0.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fubp1,1.311,0.848,1.237,4.414,1.169,0.0,0.9440000000000001,0.606,2.5180000000000002,0.623,0.602
Fubp3,0.0,0.6709999999999999,2.077,0.987,0.0,0.0,0.0,0.0,1.136,0.0,0.0
Fuca1,2.411,1.024,0.8420000000000001,1.094,0.772,0.0,1.291,0.722,0.7390000000000001,4.644,0.898
Fuca2,4.309,0.8340000000000001,0.0,0.525,0.375,0.375,1.192,0.0,0.5489999999999999,4.345,1.022
Fuk,0.6779999999999999,0.708,0.557,1.9569999999999999,0.0,0.0,0.0,0.0,2.372,0.0,1.315
Fundc1,0.7659999999999999,1.121,1.149,1.473,4.555,2.214,1.599,1.103,2.611,1.9669999999999999,0.667
Fundc2,0.281,0.0,0.0,1.359,4.138,1.19,0.0,0.0,2.391,0.0,0.0
Fuom,0.0,0.0,0.0,1.172,0.938,0.0,0.0,0.0,1.359,0.0,0.72
Furin,4.629,4.671,2.144,2.421,1.686,0.871,4.617,5.0,2.355,2.269,4.603
Fus,1.675,1.584,2.09,5.0,2.046,0.5870000000000001,1.757,1.4880000000000002,2.9139999999999997,1.652,1.319
Fut1,2.457,1.358,0.909,1.291,0.682,0.0,1.217,0.6409999999999999,1.082,1.501,5.0
Fut10,0.6559999999999999,0.6559999999999999,0.0,4.0,0.609,0.0,4.0,0.0,0.375,0.562,4.5680000000000005
Fut11,0.991,0.723,0.0,2.484,0.0,0.0,0.82,0.0,1.359,0.0,3.7969999999999997
Fut2,2.88,1.88,1.538,1.636,1.021,0.0,1.819,1.3980000000000001,1.66,1.058,4.305
Fut4,2.485,3.215,2.495,2.915,1.882,0.903,1.54,1.295,2.217,1.604,5.0
Fut7,1.86,1.595,0.693,2.3409999999999997,0.0,0.0,0.8859999999999999,0.0,1.821,0.0,5.0
