gene,Extracellular region,Plasma membrane,Cytoskeleton,Nucleus,Mitochondrion,Peroxisome,Endoplasmic reticulum,Endosome,Cytosol,Lysosome,Golgi apparatus
ENSP00000455132,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000455771,1.038,1.063,3.4960000000000004,1.128,0.7909999999999999,0.0,0.5670000000000001,0.0,0.888,0.0,0.0
ENSP00000457689,0.0,0.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000457704,0.0,0.0,0.0,1.131,0.0,0.0,0.0,0.0,0.835,0.0,0.0
ENSP00000457718,0.57,0.987,0.945,0.846,1.083,0.0,1.2570000000000001,1.734,1.2329999999999999,1.122,2.455
ENSP00000458075,0.0,0.0,0.0,0.0,0.0,0.0,0.578,0.0,0.0,0.0,0.0
ENSP00000458866,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
ENSP00000459962,2.73,4.8069999999999995,2.383,2.503,3.363,1.889,2.224,1.484,3.947,1.702,1.2690000000000001
ENSP00000460885,0.0,0.657,1.304,2.279,1.321,0.752,0.611,0.0,4.178999999999999,0.9129999999999999,5.0
ENSP00000461295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.637
ENSP00000461324,0.799,0.992,0.521,4.22,5.0,1.251,1.041,0.0,1.4780000000000002,0.0,0.0
ENSP00000463057,0.0,0.0,0.0,0.647,0.7440000000000001,1.137,0.0,0.0,0.0,0.0,0.0
ENSP00000464218,0.0,0.0,0.0,4.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000464619,0.0,0.0,0.0,0.647,0.7440000000000001,1.137,0.0,0.0,0.0,0.0,0.0
ENSP00000466834,0.679,0.8690000000000001,5.0,5.0,0.7559999999999999,0.0,0.0,0.0,0.903,0.0,0.0
ENSP00000467041,0.0,0.0,0.7959999999999999,5.0,0.501,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000467286,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000469421,1.4880000000000002,1.344,1.234,1.383,0.784,0.0,0.741,0.674,0.758,0.767,0.0
ENSP00000469970,1.54,5.0,1.374,1.587,1.517,0.0,0.992,0.65,1.357,0.76,1.011
ENSP00000470383,1.013,1.617,1.3530000000000002,0.8690000000000001,0.0,0.0,0.0,1.4809999999999999,1.258,0.78,1.3119999999999998
ENSP00000471331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.0,0.0
ENSP00000471418,0.0,0.0,0.0,3.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000471635,0.9,1.426,1.742,0.9179999999999999,0.0,0.0,0.0,0.642,0.682,0.0,0.0
ENSP00000472316,1.32,5.0,1.295,1.527,1.35,0.0,0.84,0.0,1.205,0.642,0.745
ENSP00000473233,0.0,0.0,2.441,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSP00000473391,2.349,2.496,2.46,5.0,2.024,0.738,1.3459999999999999,1.095,4.415,1.23,0.93
ENSP00000473411,1.151,0.9990000000000001,1.3459999999999999,1.4569999999999999,0.782,0.0,0.0,0.0,0.0,0.0,1.014
ENSP00000473658,0.0,0.0,0.5579999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
